"","Site.Code","RICHNESS","RICHNESS_NAT","Proportion","Region"
"395","S58",3,1,0.333333333333333,"SLL"
"396","S59",2,1,0.5,"SLL"
"397","S6",3,1,0.333333333333333,"SLL"
"398","S60",3,1,0.333333333333333,"SLL"
"399","S61",4,0,0,"SLL"
"400","S62",5,2,0.4,"SLL"
"401","S63",4,2,0.5,"SLL"
"402","S64",2,0,0,"SLL"
"403","S65",3,1,0.333333333333333,"SLL"
"404","S66",4,3,0.75,"SLL"
"405","S67",4,1,0.25,"SLL"
"406","S69",2,1,0.5,"SLL"
"407","S7",1,0,0,"SLL"
"408","S70",1,1,1,"SLL"
"409","S71",4,0,0,"SLL"
"410","S72",5,3,0.6,"SLL"
"411","S73",1,0,0,"SLL"
"412","S74",2,1,0.5,"SLL"
"413","S75",2,0,0,"SLL"
"414","S76",3,1,0.333333333333333,"SLL"
"415","S77",3,1,0.333333333333333,"SLL"
"416","S78",2,0,0,"SLL"
"417","S79",3,2,0.666666666666667,"SLL"
"418","S8",1,1,1,"SLL"
"419","S80",4,1,0.25,"SLL"
"420","S81",2,1,0.5,"SLL"
"421","S82",3,1,0.333333333333333,"SLL"
"422","S83",2,0,0,"SLL"
"423","S84",5,3,0.6,"SLL"
"424","S85",2,0,0,"SLL"
"425","S86",4,0,0,"SLL"
"426","S87",2,0,0,"SLL"
"427","S88",3,3,1,"SLL"
"428","S89",2,1,0.5,"SLL"
"429","S9",2,1,0.5,"SLL"
"430","S90",3,3,1,"SLL"
"431","S91",2,2,1,"SLL"
"432","S92",2,2,1,"SLL"
"433","S93",5,2,0.4,"SLL"
"434","S94",1,0,0,"SLL"
"435","S95",3,2,0.666666666666667,"SLL"
"436","S96",3,2,0.666666666666667,"SLL"
"437","S97",3,1,0.333333333333333,"SLL"
"438","S98",2,1,0.5,"SLL"
"439","S99",1,0,0,"SLL"
"440","Y1",2,0,0,"SLL"
"441","Y100",1,1,1,"SLL"
"442","Y101",1,1,1,"SLL"
"443","Y102",1,1,1,"SLL"
"444","Y103",4,2,0.5,"SLL"
"445","Y104",1,0,0,"SLL"
"446","Y105",1,1,1,"SLL"
"447","Y106",1,1,1,"SLL"
"448","Y107",1,1,1,"SLL"
"449","Y108",2,1,0.5,"SLL"
"450","Y109",1,1,1,"SLL"
"451","Y11",3,1,0.333333333333333,"SLL"
"452","Y110",3,1,0.333333333333333,"SLL"
"453","Y111",1,0,0,"SLL"
"454","Y112",1,0,0,"SLL"
"455","Y113",14,4,0.285714285714286,"SLL"
"456","Y114",11,6,0.545454545454545,"SLL"
"457","Y115",2,1,0.5,"SLL"
"458","Y116",4,1,0.25,"SLL"
"459","Y117",1,0,0,"SLL"
"460","Y118",26,8,0.307692307692308,"SLL"
"461","Y119",5,1,0.2,"SLL"
"462","Y12",1,0,0,"SLL"
"463","Y120",1,0,0,"SLL"
"464","Y121",1,0,0,"SLL"
"465","Y122",1,0,0,"SLL"
"466","Y123",1,0,0,"SLL"
"467","Y124",1,0,0,"SLL"
"468","Y125",2,0,0,"SLL"
"469","Y127",9,2,0.222222222222222,"SLL"
"470","Y128",2,1,0.5,"SLL"
"471","Y129",2,0,0,"SLL"
"472","Y13",8,4,0.5,"SLL"
"473","Y131",1,0,0,"SLL"
"474","Y132",15,6,0.4,"SLL"
"475","Y133",1,0,0,"SLL"
"476","Y134",2,1,0.5,"SLL"
"477","Y135",4,2,0.5,"SLL"
"478","Y136",3,0,0,"SLL"
"479","Y137",6,2,0.333333333333333,"SLL"
"480","Y138",2,2,1,"SLL"
"481","Y139",8,1,0.125,"SLL"
"482","Y14",2,1,0.5,"SLL"
"483","Y140",4,1,0.25,"SLL"
