"","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Invasive.Source","Comments"
"94","S","S1","AM","AMGR","AMGRPD","Amelanchier g. 'Princess Diana'","Amelanchier g. 'Princess Diana'","Y","Y","Mortens/LM/TC","WI","Hybrid of native Amelanchier canadensis and laevis"
"95","S","S1","AM","AMGR","AMGRRH","Amelanchier x grandiflora 'Robin Hill'","Robin Hill Serviceberry","Y","Y","Mortens/LM/TC","WI","Hybrid of native Amelanchier canadensis and laevis"
"96","Y","Y86","AM","AMSA","AMSA","Amelanchier sanguinea","","Y","Y",NA,"",""
"97","Y","Y113","AR","ARSP","ARSP","Aralia Spinosa","","N","Y","https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html","",""
"98","S","S124","BE","BENI","BENI","Betula nigra","River Birch","N","Y","USDA/LM/Mortens","WI",""
"99","S","S124","BE","BENI","BENIHE","Betula nigra 'Heritage'","Heritage River Birch","N","Y","USDA/LM/Mortens","WI",""
"100","A","A2","BE","BEPA","BEPA","Betula papyrifera","Paper Birch","Y","Y","USDA/TC/LM","WI",""
"101","I","I6","BE","BEPE","BEPE","Betula pendula","European White Birch","N","N","USDA/TC/Mortens","WI",""
"102","Y","Y3","BE","BEPO","BEPO","Betula populifolia","Gray Birch","Y","Y","USDA/TC/Mortens","WI",""
"103","Y","Y151","BR","BRPA","BRPA","Broussonetia papyrifera","","N","N","http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200006341","",""
"104","Y","Y56","CA","CAAB","CAAB","Caragana arborescens","","N","N","https://treecanada.ca/resources/tree-killers/siberian-peashrub/","",""
"105","S","S55","CD","CDJA","CDJA","Cercidiphyllum japonicum","Katsura Tree","N","N","USDA/TC/Mortens","WI",""
"106","S","S55","CD","CDJA","CDJARF","Cercidiphyllum japonicum 'Red Fox'","Red Fox Katsura tree","N","N","USDA/TC/Mortens","WI",""
"107","Y","Y156","CE","CECA","CECA","Cercis canadensis","","N","Y","https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/cercis/canadensis.htm","",""
"108","A","A10","CE","CEOC","CEOC","Celtis occidentalis","Common Hackberry","Y","Y","USDA/LM/NRC","WI",""
"109","A","A10","CE","CEOC","CEOCPS","Celtis occidentalis 'Prairie Sentinel'","Celtis occidentalis 'Prairie Sentinel'","Y","Y","LM/NRC/Mortons","WI",""
"110","I","I6","CG","CG",NA,NA,NA,NA,NA,NA,NA,NA
"111","P","P2","CG","CGMO","CGMOSN","Crataegus x mordenensis 'Snowbird'","Snowbird Hawthorn","N","N","TB","WI","Hybrid of non-native C. laevigata and native C.succulenta"
"112","Y","Y146","CG","CGPU","CGPU","Crataegus Punctata","Dotted Hawthorn","Y","Y","USDA/TC/NRC/ http://www.efloras.org/object_page.aspx?object_id=126879&flora_id=1 / https://www.wildflower.org/plants/result.php?id_plant=CRPU","WI","Refer to websites in Origin Source column: found in Quebec and Ontario therefore deemed native to the saint-Laurence Lowlands (KP)"
"113","Y","Y132","CO","COAL","COAL","Cornus alternifolia","","Y","Y","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b992","",""
"114","A","A6","CO","COSA","COSA","Cornus sanquinea","","N","N",NA,"",""
"115","S","S1","CR","CRCO",NA,NA,NA,NA,NA,NA,NA,NA
"116","Y","Y26","CT","CTCO",NA,NA,NA,NA,NA,NA,NA,NA
"117","I","I6","CT","CTSP","CTSP","Catalpa speciosa","Western Catalpa","N","Y","USDA/TC/LM","WI",""
"118","Y","Y26","CU","CUCA",NA,NA,NA,NA,NA,NA,NA,NA
"119","I","I1","EL","ELAN","ELAN","Elaeagnus angustifolia","","N","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279922","",""
"120","Y","Y132","LO","LOPE","LOPE","Lonicera periclymenum","","N","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=","",""
"121","I","I1","EU","EUAL","EUAL","Euonymous Alatus","Burning Bush","N","N","USDA/TC","WI/Mortens",""
"122","Y","Y3","EU","EUEU","EUEU","Euonymus Europaeus","European spindletree","N","N","USDA/TC/Mortens","WI",""
"123","I","I1","FA","FAGR","FAGR","Fagus Grandifolia ","American Beech","Y","Y","USDA/TC/LM","WI",""
"124","A","A1","FR","FRAM","FRAM","Fraxinus americana","White Ash","Y","Y","USDA/TC/LM","WI",""
"125","A","A1","FR","FRAM","FRAMAP","Fraxinus americana 'Autumn Purple'","Autumn Purple Ash","Y","Y","USDA/TC/LM","WI",""
"126","A","A1","FR","FRAM","FRAMKL","Fraxinus americana 'Kleinberg'","Kleinberg White Ash","Y","Y","USDA/TC/LM","WI",""
"127","A","A1","FR","FRAM","FRAMMA","Fraxinus Americana 'Manitou'","Manitou White Ash","Y","Y","USDA/TC/LM","WI",""
"128","A","A1","FR","FRAM","FRAMSK","Fraxinus americana 'Skyline'","Skyline White Ash","Y","Y","USDA/TC/LM","WI",""
"129","A","A12","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"130","A","A12","FR","FRPE","FRPEMS","Fraxinus pennsylvanica 'Marshall Seedless'","Marshall Seedless Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"131","A","A12","FR","FRPE","FRPEPA","Fraxinus pennsylvanica 'Patmore'","Patmore Red Ash","Y","Y","USDA/TC/LM","WI",""
"132","A","A12","FR","FRPE","FRPEPS","Fraxinus pennsylvanica 'Prairies Spires'","Prairies Spires Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"133","A","A12","FR","FRPE","FRPESU","Fraxinus pennsylvanica 'Summit'","Summit Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"134","S","S62","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"135","S","S62","FR","FRPE","FRPEMS","Fraxinus pennsylvanica 'Marshall Seedless'","Marshall Seedless Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"136","S","S62","FR","FRPE","FRPEPA","Fraxinus pennsylvanica 'Patmore'","Patmore Red Ash","Y","Y","USDA/TC/LM","WI",""
"137","S","S62","FR","FRPE","FRPEPS","Fraxinus pennsylvanica 'Prairies Spires'","Prairies Spires Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"138","S","S62","FR","FRPE","FRPESU","Fraxinus pennsylvanica 'Summit'","Summit Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"139","S","S90","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"140","S","S90","FR","FRPE","FRPEMS","Fraxinus pennsylvanica 'Marshall Seedless'","Marshall Seedless Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"141","S","S90","FR","FRPE","FRPEPA","Fraxinus pennsylvanica 'Patmore'","Patmore Red Ash","Y","Y","USDA/TC/LM","WI",""
"142","S","S90","FR","FRPE","FRPEPS","Fraxinus pennsylvanica 'Prairies Spires'","Prairies Spires Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"143","S","S90","FR","FRPE","FRPESU","Fraxinus pennsylvanica 'Summit'","Summit Red Ash","Y","Y","USDA/TC/Mortens/LM","WI",""
"144","Y","Y103","FR","FRPR","FRPR","Fraxinus Profunda","Bush pumpkin ash","N","Y","USDA","WI",""
"145","P","P3","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree","N","N","Mortens/TC/USDA","WI",""
"146","P","P3","GI","GIBI","GIBIPS","Ginkgo biloba 'Princeton Sentry'","Princeton Sentry Maidenhair Tree","N","N","Mortens/TC/USDA","WI",""
"147","S","S89","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree","N","N","Mortens/TC/USDA","WI",""
"148","S","S89","GI","GIBI","GIBIPS","Ginkgo biloba 'Princeton Sentry'","Princeton Sentry Maidenhair Tree","N","N","Mortens/TC/USDA","WI",""
"149","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM","WI",""
"150","I","I4","GL","GLTR","GLTRIM","Gleditsia triacanthos 'Imperial'","Imperial Honey-Locust","N","Y","USDA/TC/LM/Mortens","WI",""
"151","I","I4","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis","Thornless Honey-Locust","N","Y","USDA/LM","WI",""
"152","I","I4","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'","Northern Acclaim Honey-Locust","N","Y","Mortens/LM","WI",""
"153","I","I4","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'","Shademaster Honey-Locust","N","Y","USDA/LM/Mortens","WI",""
"154","I","I4","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'","Skyline Honey-Locust","N","Y","USDA/LM","WI",""
"155","I","I4","GL","GLTR","GLTRSP","Gleditsia triacanthos 'Spectrum'","Spectrum Honey-Locust","N","Y","USDA/TC/LM","WI",""
"156","I","I4","GL","GLTR","GLTRST","Gleditsia triacanthos 'Street Keeper'","Gleditsia triacanthos 'Street Keeper'","N","Y","USDA/LM/Mortens","WI",""
"157","I","I4","GL","GLTR","GLTRSU","Gleditsia triacanthos 'Sunburst'","Sunburst Honey-Locust","N","Y","USDA/LM/Mortens","WI",""
"158","P","P2","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM","WI",""
"159","P","P2","GL","GLTR","GLTRIM","Gleditsia triacanthos 'Imperial'","Imperial Honey-Locust","N","Y","USDA/TC/LM/Mortens","WI",""
"160","P","P2","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis","Thornless Honey-Locust","N","Y","USDA/LM","WI",""
"161","P","P2","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'","Northern Acclaim Honey-Locust","N","Y","Mortens/LM","WI",""
"162","P","P2","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'","Shademaster Honey-Locust","N","Y","USDA/LM/Mortens","WI",""
"163","P","P2","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'","Skyline Honey-Locust","N","Y","USDA/LM","WI",""
"164","P","P2","GL","GLTR","GLTRSP","Gleditsia triacanthos 'Spectrum'","Spectrum Honey-Locust","N","Y","USDA/TC/LM","WI",""
"165","P","P2","GL","GLTR","GLTRST","Gleditsia triacanthos 'Street Keeper'","Gleditsia triacanthos 'Street Keeper'","N","Y","USDA/LM/Mortens","WI",""
"166","P","P2","GL","GLTR","GLTRSU","Gleditsia triacanthos 'Sunburst'","Sunburst Honey-Locust","N","Y","USDA/LM/Mortens","WI",""
"167","S","S46","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM","WI",""
"168","S","S46","GL","GLTR","GLTRIM","Gleditsia triacanthos 'Imperial'","Imperial Honey-Locust","N","Y","USDA/TC/LM/Mortens","WI",""
"169","S","S46","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis","Thornless Honey-Locust","N","Y","USDA/LM","WI",""
"170","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'","Northern Acclaim Honey-Locust","N","Y","Mortens/LM","WI",""
"171","S","S46","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'","Shademaster Honey-Locust","N","Y","USDA/LM/Mortens","WI",""
"172","S","S46","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'","Skyline Honey-Locust","N","Y","USDA/LM","WI",""
"173","S","S46","GL","GLTR","GLTRSP","Gleditsia triacanthos 'Spectrum'","Spectrum Honey-Locust","N","Y","USDA/TC/LM","WI",""
"174","S","S46","GL","GLTR","GLTRST","Gleditsia triacanthos 'Street Keeper'","Gleditsia triacanthos 'Street Keeper'","N","Y","USDA/LM/Mortens","WI",""
"175","S","S46","GL","GLTR","GLTRSU","Gleditsia triacanthos 'Sunburst'","Sunburst Honey-Locust","N","Y","USDA/LM/Mortens","WI",""
"176","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM","WI",""
"177","P","P1","GL","GLTR","GLTRIM","Gleditsia triacanthos 'Imperial'","Imperial Honey-Locust","N","Y","USDA/TC/LM/Mortens","WI",""
"178","P","P1","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis","Thornless Honey-Locust","N","Y","USDA/LM","WI",""
"179","P","P1","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'","Northern Acclaim Honey-Locust","N","Y","Mortens/LM","WI",""
"180","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'","Shademaster Honey-Locust","N","Y","USDA/LM/Mortens","WI",""
"181","P","P1","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'","Skyline Honey-Locust","N","Y","USDA/LM","WI",""
"182","P","P1","GL","GLTR","GLTRSP","Gleditsia triacanthos 'Spectrum'","Spectrum Honey-Locust","N","Y","USDA/TC/LM","WI",""
"183","P","P1","GL","GLTR","GLTRST","Gleditsia triacanthos 'Street Keeper'","Gleditsia triacanthos 'Street Keeper'","N","Y","USDA/LM/Mortens","WI",""
"184","P","P1","GL","GLTR","GLTRSU","Gleditsia triacanthos 'Sunburst'","Sunburst Honey-Locust","N","Y","USDA/LM/Mortens","WI",""
"185","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM","WI",""
