"","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","DBH","Native_SLL","Native_ETF"
"146","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
"147","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
"148","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
"149","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
"150","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"151","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"152","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"153","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"154","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"155","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"156","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"157","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"158","Public","Street","S","S46","GL","GLTR","GLTRNA","Gleditsia triacanthos 'Northern Acclaim'",5,"N","Y"
"159","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"Y","Y"
"160","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"Y","Y"
"161","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"Y","Y"
"162","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"163","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"164","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"165","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"166","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"167","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"168","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"169","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"170","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","Y"
"171","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","N"
"172","Public","Parc","P","P1","GL","GLTR","GLTRSH","Gleditsia triacanthos 'Shademaster'",5,"N","N"
"173","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"174","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"175","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"176","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"177","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"178","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"179","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"180","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"181","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"182","Public","Street","S","S6","GL","GLTR","GLTRSK","Gleditsia triacanthos 'Skyline'",5,"N","Y"
"183","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"184","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"185","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"186","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"187","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"188","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"189","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"190","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"191","Public","Street","S","S11","GL","GLTR","GLTRIN","Gleditsia triacanthos var. inermis",25,"N","Y"
"192","Public","Street","S","S2","GY","GYDI","GYDI","Gymnocladus dioicus",5,"N","Y"
"193","Public","Street","S","S2","GY","GYDI","GYDI","Gymnocladus dioicus",5,"N","Y"
"194","Public","Street","S","S2","GY","GYDI","GYDI","Gymnocladus dioicus",5,"N","N"
"195","Public","Street","S","S2","GY","GYDI","GYDI","Gymnocladus dioicus",5,"N","N"
"196","Public","Street","S","S2","GY","GYDI","GYDI","Gymnocladus dioicus",5,"N","N"
"197","Public","Street","S","S2","GY","GYDI","GYDI","Gymnocladus dioicus",5,"N","N"
"198","Public","Street","S","S2","GY","GYDI","GYDI","Gymnocladus dioicus",5,"N","N"
"199","Public","Street","S","S95","JU","JUNI","JUNI","Juglans nigra",5,"Y","Y"
"200","Public","Parc","P","P2","MA","MAPR","MAPRRI","Malus prunifolia 'Rinki'",11,"N","N"
"201","Public","Parc","P","P2","MA","MARO","MAXXRO","Malus x 'Royalty'",16,"N","N"
"202","Public","Parc","P","P2","MA","MARO","MAXXRO","Malus x 'Royalty'",16,"N","N"
"203","Public","Parc","P","P3","MA","MATH","MAXXTH","Malus x 'Thunderchild'",14,"N","N"
"204","Public","Street","S","S84","OS","OSVI","OSVI","Ostrya virginiana",5,"Y","Y"
"205","Public","Street","S","S123","PI","PNNI","PNNIAU","Pinus nigra 'Austriaca'",5,"N","N"
"206","Public","Street","S","S123","PI","PNNI","PNNIAU","Pinus nigra 'Austriaca'",5,"N","N"
"207","Public","Street","S","S117","PI","PNST","PNST","Pinus strobus",5,"Y","Y"
"208","Public","Parc","P","P3","PO","POCA","POCA","Populus x canadensis",87,"N","N"
"209","Public","Street","S","S53","PY","PYCA","PYCACH","Pyrus calleryana 'Glen's Form (Chantecleer)",5,"N","N"
"210","Public","Street","S","S53","PY","PYCA","PYCACH","Pyrus calleryana 'Glen's Form (Chantecleer)",5,"N","N"
"211","Public","Street","S","S53","PY","PYCA","PYCACH","Pyrus calleryana 'Glen's Form (Chantecleer)",5,"N","N"
"212","Public","Street","S","S21","QU","QUBI","QUBI","Quercus bicolor",5,"Y","Y"
"213","Public","Street","S","S4","QU","QUMA","QUMA","Quercus macrocarpa",5,"Y","Y"
"214","Public","Street","S","S26","QU","QURO","QURO","Quercus robur",5,"N","N"
"215","Public","Street","S","S26","QU","QURO","QURO","Quercus robur",5,"N","N"
"216","Public","Street","S","S26","QU","QURO","QURO","Quercus robur",5,"N","N"
"217","Public","Street","S","S19","QU","QURO","QUROFA","Quercus robur 'Fastigiata'",33,"N","N"
"218","Public","Street","S","S19","QU","QURO","QUROFA","Quercus robur 'Fastigiata'",33,"N","N"
